1.582141880606657836e-02 4.808858119394643360e-02 1.992753677269430311e-04 5.860963547476344057e-04
1.072336502775936840e-01 2.416634972237985401e-02 8.771178629928524841e-04 2.155384777742933901e-04
3.523354041543713677e-02 1.465645958455863429e-02 4.900362900362271405e-04 2.081464577598544181e-04
1.374163500995386755e-01 4.958364990043295784e-02 9.310042957036449799e-04 3.687081587438229176e-04
2.810167465130231079e-02 1.317832534869345373e-02 4.314823178129771207e-04 2.054237084687735981e-04
1.527735431808574518e-02 5.782645681911668945e-03 3.303046908016260943e-04 1.262240003472007597e-04
7.530719719129397305e-02 2.422802808684121345e-03 8.124676793747319121e-04 2.816601089110113234e-05
2.181233517395808619e-02 3.456766482604778368e-02 2.899914580595160129e-04 4.536509733320128021e-04
4.275972813846573573e-02 8.890271861524690067e-03 5.802982141700604090e-04 1.248729755598698590e-04
2.427870139414900486e-02 2.691298605844716363e-03 4.605923622348781173e-04 5.217990376704621639e-05
1.816140894997024802e-01 3.508591050024767455e-02 1.097337117896692938e-03 2.481717769436780604e-04
4.761546983696307578e-02 1.869545301630843870e-01 3.218673830230406254e-04 1.087128488436435317e-03
4.804581603584834326e-02 4.274183964137368008e-03 6.444013789803805644e-04 5.993315890156042473e-05
1.540874644996526044e-02 4.452125355004610263e-02 2.002197807084190435e-04 5.616141321732818614e-04
2.064578748615120141e-02 2.504421251385213765e-02 3.040973855149409601e-04 3.672425044232800469e-04
1.529775859050941378e-02 9.532241409488939610e-03 3.050125602425026307e-04 1.911643625199012928e-04
2.004953392294828163e-02 7.740466077048147042e-03 3.764482569285620148e-04 1.471489781588486184e-04
5.440777372579419513e-02 4.622722262743463872e-01 2.685934504684233813e-04 1.354296509846600978e-03
1.410649246091844056e-02 4.835075390774434823e-04 3.660046889254942493e-04 1.271781665734421237e-05
7.956658152532369854e-02 2.006341847465642481e-02 7.611882700381802837e-04 2.040818084544242011e-04
